**Title**,**Authors**
Reproducibility and Impact of AI Research,Yevgeniy Vorobeychik and Elaine Choy
Revisiting Incremental Skip-gram for Dynamic Network Embedding,Akrati Saxena and Ella Has
Code Quality Predicts Community Engagement not Citation Impact: Evidence from 508 Research Repositories,Mayank Kejriwal
Enriching Experiment Artifacts with LLMs for Comprehensive and Understandable Documentation,"Kilian Warmuth, Eric Hauser, Daniel Petri, Marcel Kempf, and Georg Carle"
Modernizing a legacy Python research codebase using uv and Sionna,Marius Arvinte
"Where Reproducibility Breaks First: Automated Environment Analysis of 1,000 CS Papers",Oorjit Chowdhary and Rob Fatland
Measuring Ease of Reuse for Security Research Artifacts with Results-Reproduced Badges,"Jelena Mirkovic, Qishen Sam Liang, and David Balenson"
"It Works, But Why? A Case Study of Artifact Consumption in Machine Learning Systems",Ansh Sarkar and Fraida Fund
